time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-11T08:23:38.817Z,55.5229,-158.7736,16.6,2.5,ml,,,,0.13,ak,ak0237g1ypax,2023-06-11T08:25:34.203Z,"49 km SSE of Perryville, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-11T07:41:05.641Z,40.1334,40.9546,10,4.3,mb,52,57,0.369,0.72,us,us7000k7sb,2023-06-11T08:26:25.040Z,"23 km NNW of Ilıca, Turkey",earthquake,5.64,1.959,0.116,21,reviewed,us,us
2023-06-11T07:20:57.896Z,67.4526,-164.0943,10,2.7,mb_lg,24,205,0.755,0.44,us,us7000k7sa,2023-06-11T08:21:31.040Z,"35 km SSE of Kivalina, Alaska",earthquake,2.98,2.01,0.193,7,reviewed,us,us
2023-06-11T06:51:48.133Z,-2.9793,136.648,50.039,5,mww,86,55,4.077,0.62,us,us7000k7s6,2023-06-11T07:08:27.040Z,"134 km ENE of Nabire, Indonesia",earthquake,7.91,6.923,0.098,10,reviewed,us,us
2023-06-11T06:36:50.240Z,-24.1423,-67.1026,219.632,4.3,mb,18,87,1.542,0.57,us,us7000k7s0,2023-06-11T08:09:08.040Z,"80 km W of San Antonio de los Cobres, Argentina",earthquake,11.46,18.533,0.217,6,reviewed,us,us
2023-06-11T06:36:19.276Z,-5.7393,102.9267,31.384,4.8,mb,46,185,1.37,0.68,us,us7000k7s1,2023-06-11T06:54:05.040Z,"192 km S of Pagar Alam, Indonesia",earthquake,9.5,6.713,0.097,33,reviewed,us,us
2023-06-11T05:04:28.800Z,18.0381666666667,-66.6095,16.18,3.16,md,12,159,0.00556,0.16,pr,pr71413003,2023-06-11T05:22:13.090Z,"3 km NNE of Ponce, Puerto Rico",earthquake,0.7,0.49,0.10472074025201,11,reviewed,pr,pr
2023-06-11T04:57:55.822Z,-21.1401,-68.9302,109.468,4.4,mb,37,52,0.529,0.75,us,us7000k7rm,2023-06-11T05:23:29.040Z,"70 km W of Ollagüe, Chile",earthquake,5.41,6.704,0.095,32,reviewed,us,us
2023-06-11T04:47:46.501Z,55.6244,160.9293,133.075,4.2,mb,39,102,2.928,0.78,us,us7000k7rk,2023-06-11T05:13:18.040Z,"77 km S of Klyuchi, Russia",earthquake,11.24,9.576,0.067,62,reviewed,us,us
2023-06-11T04:42:02.153Z,37.7994,27.1915,10,4.1,mb,30,108,0.563,0.9,us,us7000k7rj,2023-06-11T08:13:34.108Z,"8 km SW of Kuşadası, Turkey",earthquake,4.19,1.94,0.214,6,reviewed,us,us
2023-06-11T03:56:59.210Z,-5.6977,152.0778,10,4.8,mb,31,90,6.11,1.01,us,us7000k7rd,2023-06-11T04:18:48.040Z,"151 km S of Kokopo, Papua New Guinea",earthquake,4.42,1.872,0.074,59,reviewed,us,us
2023-06-11T03:54:47.690Z,19.2096666666667,-67.9695,29.15,3.32,md,12,332,1.098,0.27,pr,pr71412978,2023-06-11T04:20:30.920Z,"83 km NNE of Punta Cana, Dominican Republic",earthquake,2.04,18.18,0.108446252317686,6,reviewed,pr,pr
2023-06-11T03:07:34.810Z,17.9251666666667,-66.9851666666667,7.59,2.51,md,4,242,0.1124,0.04,pr,pr71413023,2023-06-11T06:50:00.720Z,"8 km SE of La Parguera, Puerto Rico",earthquake,0.91,0.3,0.0684386027036497,3,reviewed,pr,pr
2023-06-11T02:58:01.652Z,46.2006,153.1275,10,5.2,mww,86,133,7.186,0.86,us,us7000k7qx,2023-06-11T03:27:26.040Z,"Kuril Islands",earthquake,9.58,1.885,0.098,10,reviewed,us,us
2023-06-11T02:11:53.520Z,17.9503333333333,-66.8465,13.55,2.51,md,7,208,0.03971,0.08,pr,pr71412968,2023-06-11T02:21:26.930Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.8,0.38,0.18110208788608,4,reviewed,pr,pr
2023-06-11T01:42:28.775Z,-0.0167,123.0862,150.802,4.8,mb,59,52,1.066,1.03,us,us7000k7qq,2023-06-11T02:00:22.040Z,"61 km S of Gorontalo, Indonesia",earthquake,5.55,5.511,0.065,75,reviewed,us,us
2023-06-11T01:34:41.202Z,12.4968,-88.8822,46.004,4.4,mb,30,194,1.21,0.82,us,us7000k7qj,2023-06-11T02:18:10.040Z,"94 km SSW of Puerto El Triunfo, El Salvador",earthquake,10.38,11.706,0.057,87,reviewed,us,us
2023-06-11T00:38:52.455Z,-26.3276,28.1388,10,5,mb,68,40,2.64,0.57,us,us7000k7q8,2023-06-11T08:51:43.182Z,"6 km SSE of Alberton, South Africa",earthquake,7.86,1.811,0.07,64,reviewed,us,us
2023-06-11T00:28:07.720Z,18.995,-66.4785,15.25,3.41,md,9,279,0.5174,0.44,pr,pr71412948,2023-06-11T00:48:37.410Z,"59 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.95,2.81,0.0806562745103576,4,reviewed,pr,pr
2023-06-11T00:25:05.721Z,51.8563,178.3222,121.795,4.3,ml,19,156,0.184,0.33,us,us7000k7q5,2023-06-11T05:36:55.968Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,14.2,8.175,0.074,24,reviewed,us,us
2023-06-10T23:44:32.311Z,58.1118,-153.6444,46.4,3.1,ml,,,,0.62,ak,ak0237enhcfd,2023-06-11T00:00:56.040Z,"43 km W of Aleneva, Alaska",earthquake,,1,,,automatic,ak,ak
2023-06-10T23:32:58.802Z,-6.6466,129.8322,148.978,4.5,mb,33,54,2.111,0.46,us,us7000k7pz,2023-06-10T23:54:30.040Z,"Banda Sea",earthquake,9.36,8.702,0.113,23,reviewed,us,us
